company_name,category,addr_street,addr_number,addr_city
Rex Energy Corporation,Energy,Clove,73,Ivanivka
iShares MSCI Brazil Small-Cap ETF,n/a,Sachs,785,Zhugang
Good Times Restaurants Inc.,Consumer Services,Sugar,9070,Fuxi
Enel Chile S.A.,Public Utilities,Dottie,8,Arklow
Kamada Ltd.,Health Care,Utah,201,Lusigang
"Voya Infrastructure, Industrials and Materials Fund",n/a,Red Cloud,2,Camargo
"Immunomedics, Inc.",Health Care,South,00967,Az Zawr
Horizon Technology Finance Corporation,n/a,Bartelt,21,Ashtarak
Shenandoah Telecommunications Co,Public Utilities,1st,8,Aktogay
Highway Holdings Limited,Capital Goods,Delaware,1938,Raleigh
"Cyclacel Pharmaceuticals, Inc.",Health Care,Doe Crossing,97,Jianshe
Cousins Properties Incorporated,Consumer Services,Towne,5,Qiucun
Weatherford International plc,Energy,Kipling,2,Duyun
First Trust Managed Municipal ETF,n/a,Merchant,6657,Skien
"Baldwin & Lyons, Inc.",Finance,Bonner,75675,Ares Tengah
Medley LLC,Finance,Calypso,0219,Leme
First Trust Eurozone AlphaDEX ETF,n/a,Calypso,0809,El Cacao
Miller/Howard High Income Equity Fund,n/a,Ohio,3,Ōzu
CombiMatrix Corporation,Health Care,Mallory,640,Kobrinskoye
Abeona Therapeutics Inc.,Health Care,Moland,7,Berlin
Pebblebrook Hotel Trust,n/a,Hoard,280,Tân An
"Live Nation Entertainment, Inc.",Consumer Services,Westerfield,084,Rubirizi
"American Airlines Group, Inc.",Transportation,Jana,2,Canchaque
"China Customer Relations Centers, Inc.",Miscellaneous,Southridge,66,Caen
Blackrock Floating Rate Income Strategies Fund Inc,n/a,Onsgard,6,Linköping
Bank of Commerce Holdings (CA),Finance,Hooker,85273,Mar del Plata
Hersha Hospitality Trust,Consumer Services,Melody,12,Verkhniy Lomov
DTE Energy Company,Public Utilities,Trailsway,37,Gerdu
"American Renal Associates Holdings, Inc",Health Care,Green,05,Knysna
"Republic First Bancorp, Inc.",Finance,Manitowish,907,Tabor
"Rockwell Collins, Inc.",Capital Goods,Arkansas,46,Dalar
Blueprint Medicines Corporation,Health Care,Welch,4255,Pantin
Avista Healthcare Public Acquisition Corp.,Finance,Schlimgen,0,Carnot
"ONEOK Partners, L.P.",Public Utilities,Charing Cross,240,Skhodnya
Newmont Mining Corporation,Basic Industries,Mallard,84,Mozelos
Duff & Phelps Global Utility Income Fund Inc.,n/a,Farwell,587,Iranduba
Associated Banc-Corp,n/a,Bowman,559,Sipeng
"ILG, Inc",Finance,Springs,511,Cihaladan
"Spring Bank Pharmaceuticals, Inc.",Health Care,Mcbride,390,Millerovo
"Pulmatrix, Inc.",Health Care,Knutson,4701,Santa Inês
"Dominion Energy, Inc.",Public Utilities,Kim,79952,Paracuru
"Cullen/Frost Bankers, Inc.",Finance,Dakota,970,Huaylillas
Jensyn Acquistion Corp.,Finance,Warrior,77,Santa Cruz
Mid Penn Bancorp,Finance,American,3811,Ngamba
Monster Beverage Corporation,Consumer Non-Durables,Melvin,2864,Lopatinskiy
"PT Telekomunikasi Indonesia, Tbk",Public Utilities,Harper,273,Paris 17
Briggs & Stratton Corporation,Energy,Northport,3,Copa
DTE Energy Company,Public Utilities,Westridge,79141,Villa Florida
1st Constitution Bancorp (NJ),Finance,Thompson,2169,Andou
Gentherm Inc,Capital Goods,Bashford,16876,Krasnyy Oktyabr’
"Safeguard Scientifics, Inc.",Finance,Grasskamp,979,Wushan
Air Lease Corporation,Technology,Roxbury,23,Veternik
"Sturm, Ruger & Company, Inc.",Capital Goods,Amoth,269,Clisson
Alphabet Inc.,Technology,Calypso,8,Guantouzui
Tennessee Valley Authority,Public Utilities,5th,9061,Guadalupe
PowerShares S&P SmallCap Information Technology Portfolio,n/a,Forest,28233,Brooklyn
Trimble Inc.,Capital Goods,Stuart,7068,Yantan
iShares MSCI New Zealand Capped ETF,n/a,Lakewood Gardens,4,Longshan
Cerecor Inc.,Health Care,Boyd,7,Monte Alto
Limoneira Co,Consumer Non-Durables,Dahle,8444,Tinumpuk
"Liquidity Services, Inc.",Miscellaneous,Artisan,490,Sucha
Aspen Insurance Holdings Limited,n/a,Miller,71523,Chunghwa
Ituran Location and Control Ltd.,Consumer Non-Durables,Parkside,11,Santiago de Subrrifana
"Home Depot, Inc. (The)",Consumer Services,Eagan,2835,Guder
Pennsylvania Real Estate Investment Trust,n/a,Mifflin,57533,Chyhyryn
"Strayer Education, Inc.",Consumer Services,Buhler,51119,Vrbno pod Pradědem
Alliance California Municipal Income Fund Inc,n/a,Sherman,32679,Nato
Saratoga Investment Corp,n/a,Laurel,7,Fort Erie
Iridium Communications Inc,Consumer Durables,Independence,389,Velika
E.W. Scripps Company (The),Consumer Services,Jenifer,04945,Borūjen
Quinpario Acquisition Corp. 2,Miscellaneous,Mitchell,8,Yamango
"AxoGen, Inc.",Health Care,Mallard,46,Gwanda
The Middleby Corporation,Technology,Tennyson,7,Tver
Travelport Worldwide Limited,Consumer Services,Tony,63090,Curuggoong
AmeriServ Financial Inc.,Finance,Crescent Oaks,49596,Laventille
Invacare Corporation,Health Care,Elka,23,Ciguna
"Keane Group, Inc.",Energy,Mayer,28645,Krajan Siki
Oxbridge Re Holdings Limited,Finance,Crowley,35562,Sitovo
Research Frontiers Incorporated,Miscellaneous,Roxbury,50,Accha
Ecopetrol S.A.,Energy,Anzinger,5768,Strömstad
"EQT GP Holdings, LP",Public Utilities,Anderson,0,Sandefjord
Heritage Financial Corporation,Finance,Homewood,433,Žďár
"Nexeo Solutions, Inc.",Consumer Durables,Petterle,057,Janas
SL Green Realty Corporation,Consumer Services,Pleasure,5994,Jianjiang
"Consumer Portfolio Services, Inc.",Finance,Novick,46559,Anqing
"The Travelers Companies, Inc.",Finance,Magdeline,48021,Sūq ar Rabū‘
Eagle Point Credit Company Inc.,n/a,Graceland,90,Umbultanjung
"Foundation Medicine, Inc.",Health Care,Calypso,12713,Ongkharak
"Liquidity Services, Inc.",Miscellaneous,Barnett,19,Siparia
Formula Systems (1985) Ltd.,Technology,Eastlawn,6513,Buzet
Select Asset Inc.,Finance,5th,1391,Dongmafang
AmeriServ Financial Inc.,Finance,Helena,68515,Cibodas
Morgan Stanley,n/a,Anniversary,37746,Emiliano Zapata
IDT Corporation,Public Utilities,Mccormick,8,Petite Anse
"Covenant Transportation Group, Inc.",Transportation,Declaration,88,Suhong
"Helmerich & Payne, Inc.",Energy,Dorton,558,Jijiazhuang
"Rave Restaurant Group, Inc.",Consumer Non-Durables,Amoth,0,Corani
"Texas Capital Bancshares, Inc.",Finance,Laurel,3546,Phichit
"Dynex Capital, Inc.",Consumer Services,Jenifer,032,Binawara
"Cadiz, Inc.",Public Utilities,Pepper Wood,27457,Jiaokui
iSectors Post-MPT Growth ETF,n/a,Delaware,46,Caseros
"AmTrust Financial Services, Inc.",n/a,Upham,2,Skrzydlna
"Urban Outfitters, Inc.",Consumer Services,Helena,66353,Kropotkin
The Intergroup Corporation,Consumer Services,Doe Crossing,01822,Baraguá
"Marinus Pharmaceuticals, Inc.",Health Care,Buhler,4,Jiazhuang
Oasmia Pharmaceutical AB,Health Care,Green,3,Xiazhai
"Colony NorthStar, Inc.",n/a,International,46251,Xinchang
Abbott Laboratories,Health Care,Dexter,539,Beiqiao
Valero Energy Corporation,Energy,Lukken,40,Stavyshche
"American Renal Associates Holdings, Inc",Health Care,Fulton,1076,Libertad
Torchmark Corporation,n/a,Eastwood,61085,Brochów
"Titan International, Inc.",Basic Industries,Ilene,2,Sūrān
Intercontinental Hotels Group,Consumer Services,Emmet,6,Nova Pazova
"Champions Oncology, Inc.",Health Care,Dawn,74,Samaro
China Mobile (Hong Kong) Ltd.,Public Utilities,Cordelia,59313,Saint-Étienne
"Cypress Energy Partners, L.P.",Energy,Almo,530,Bilo
Monmouth Real Estate Investment Corporation,Consumer Services,Montana,056,Jiahe
Welltower Inc.,Consumer Services,Golf,47,Sterlibashevo
"Gabelli Equity Trust, Inc. (The)",n/a,Utah,36559,Municipio de Copacabana
"Care.com, Inc.",Consumer Services,Emmet,3,Tobias Fornier
"NuVasive, Inc.",Health Care,Larry,3527,Labège
Canadian Natural Resources Limited,Energy,Texas,18,Vancouver
"Hollysys Automation Technologies, Ltd.",Energy,Manley,96630,Богданци
Central Garden & Pet Company,Consumer Durables,Linden,22398,Kachia
"Chanticleer Holdings, Inc.",Consumer Services,Eagle Crest,28,Yingzhou
"Spirit Airlines, Inc.",Transportation,Scofield,63493,Hiji
Female Health Company (The),Basic Industries,Darwin,40,Lordelo
"Lifeway Foods, Inc.",Consumer Non-Durables,Ruskin,47809,Pallisa
First Trust RiverFront Dynamic Emerging Markets ETF,n/a,Eagan,948,Tieshan
"Treehouse Foods, Inc.",Consumer Non-Durables,Scofield,985,Ballyjamesduff
Global Payments Inc.,Miscellaneous,Sauthoff,14,Sucun
"Hologic, Inc.",Health Care,Luster,0,Oberá
Universal Technical Institute Inc,Consumer Services,Tomscot,0844,Baishan
"Midland States Bancorp, Inc.",Finance,Sage,74,Plalar
"Inovalon Holdings, Inc.",Technology,Cody,6357,Dodoma
Stone Harbor Emerging Markets Income Fund,n/a,Porter,97708,Tallahassee
"Diamond Offshore Drilling, Inc.",Energy,Meadow Vale,2,Konstantynów Łódzki
Quidel Corporation,Health Care,Rigney,794,Thị Trấn Mường Lát
Neogen Corporation,Health Care,West,8,Xingou
"Comstock Holding Companies, Inc.",Capital Goods,Union,530,San Roque
Garmin Ltd.,Capital Goods,Brentwood,54,Adraskan
"Citizens, Inc.",Finance,Steensland,4172,Pacet
Xcel Energy Inc.,Public Utilities,Wayridge,019,Arboleda
"Mitcham Industries, Inc.",Technology,New Castle,754,Chigorodó
"SunTrust Banks, Inc.",n/a,Park Meadow,400,Nyamanari
Ovid Therapeutics Inc.,Health Care,Heath,0,Miyata
"Bojangles', Inc.",Consumer Services,Fair Oaks,887,Kuantan
Primo Water Corporation,Consumer Non-Durables,Lerdahl,4986,Ocucaje
"SPI Energy Co., Ltd.",Technology,Mccormick,8,Estrada
"Communications Systems, Inc.",Public Utilities,Fairfield,889,Pyhäselkä
"Diamond Hill Investment Group, Inc.",Finance,Sauthoff,255,Lyon
"Huttig Building Products, Inc.",Consumer Services,Barby,61,Santana de Parnaíba
Celsion Corporation,Health Care,Crescent Oaks,95042,Jeong
HSBC Holdings plc,Finance,Bunker Hill,61837,Zábřeh
Waters Corporation,Capital Goods,Badeau,6,Côn Sơn
First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,n/a,Green Ridge,71380,Nanshan
Quest Resource Holding Corporation.,Technology,Farwell,5,Chenghe
"Fiserv, Inc.",Technology,Clove,11454,Sịa
Eagle Growth and Income Opportunities Fund,n/a,Evergreen,66686,Rosario de Mora
iShares Core MSCI Total International Stock ETF,n/a,Schurz,9,Hai’an
"ICF International, Inc.",Consumer Services,Golf View,8,Kambing
Korea Electric Power Corporation,Public Utilities,Oxford,5274,Tangban
